Topaz_ID	 WEPP_ID	 OFEs	 Area_cells	Soil_File	Management_File	Slope_file
663	151	14	231	soil/68563_14.sl	man/ww_barley_fallow_Int_Precip_mt_14.man	slope/H151.slp
662	152	2	50	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H152.slp
671	153	11	156	soil/68563_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H153.slp
672	154	1	24	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H154.slp
673	155	3	39	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H155.slp
682	156	6	40	soil/68556_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H156.slp
683	157	2	20	soil/68556_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H157.slp
692	158	3	17	soil/68556_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H158.slp
693	159	2	12	soil/68556_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H159.slp
702	160	1	8	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H160.slp
703	161	1	4	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H161.slp
711	162	11	114	soil/68556_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H162.slp
712	163	1	37	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H163.slp
713	164	1	41	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H164.slp
722	165	13	171	soil/68556_13.sl	man/ww_barley_fallow_Int_Precip_mt_13.man	slope/H165.slp
723	166	12	160	soil/68556_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H166.slp
732	167	1	7	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H167.slp
741	168	15	112	soil/68556_15.sl	man/ww_barley_fallow_Int_Precip_mt_15.man	slope/H168.slp
742	169	1	24	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H169.slp
743	170	1	15	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H170.slp
752	171	2	11	soil/68556_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H171.slp
753	172	7	33	soil/68556_7.sl	man/ww_barley_fallow_Int_Precip_mt_7.man	slope/H172.slp
762	173	5	230	soil/68556_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H173.slp
761	174	12	119	soil/68556_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H174.slp
763	175	1	69	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H175.slp
772	176	1	16	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H176.slp
773	177	3	34	soil/68556_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H177.slp
782	178	4	113	soil/68556_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H178.slp
783	179	6	151	soil/68556_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H179.slp
791	180	12	169	soil/68556_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H180.slp
792	181	5	149	soil/68556_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H181.slp
793	182	2	76	soil/68556_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H182.slp
801	183	10	112	soil/68556_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H183.slp
802	184	1	8	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H184.slp
803	185	2	28	soil/68556_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H185.slp
813	186	8	22	soil/68556_8.sl	man/ww_barley_fallow_Int_Precip_mt_8.man	slope/H186.slp
822	187	9	272	soil/68556_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H187.slp
823	188	13	364	soil/68556_13.sl	man/ww_barley_fallow_Int_Precip_mt_13.man	slope/H188.slp
832	189	1	3	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H189.slp
833	190	3	7	soil/68556_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H190.slp
841	191	10	115	soil/68556_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H191.slp
842	192	3	218	soil/68556_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H192.slp
843	193	5	288	soil/68556_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H193.slp
852	194	6	85	soil/68556_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H194.slp
853	195	6	89	soil/68556_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H195.slp
861	196	15	113	soil/68556_15.sl	man/ww_barley_fallow_Int_Precip_mt_15.man	slope/H196.slp
862	197	1	4	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H197.slp
863	198	1	6	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H198.slp
872	199	11	120	soil/68556_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H199.slp
873	200	9	97	soil/68556_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H200.slp
881	201	9	120	soil/68556_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H201.slp
882	202	3	148	soil/68556_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H202.slp
883	203	1	71	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H203.slp
892	204	1	7	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H204.slp
893	205	6	29	soil/68556_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H205.slp
901	206	9	112	soil/68556_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H206.slp
903	207	7	414	soil/68556_7.sl	man/ww_barley_fallow_Int_Precip_mt_7.man	slope/H207.slp
902	208	2	156	soil/68556_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H208.slp
912	209	1	2	soil/68556_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H209.slp
922	210	9	130	soil/68556_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H210.slp
923	211	5	83	soil/68556_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H211.slp
931	212	12	112	soil/68563_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H212.slp
932	213	2	85	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H213.slp
933	214	1	31	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H214.slp
942	215	1	3	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H215.slp
943	216	18	135	soil/68563_18.sl	man/ww_barley_fallow_Int_Precip_mt_18.man	slope/H216.slp
952	217	4	183	soil/68563_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H217.slp
953	218	6	237	soil/68563_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H218.slp
961	219	10	137	soil/68563_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H219.slp
963	220	1	31	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H220.slp
962	221	1	36	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H221.slp
973	222	1	2	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H222.slp
982	223	1	3	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H223.slp
983	224	1	3	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H224.slp
991	225	9	132	soil/68563_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H225.slp
992	226	5	177	soil/68563_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H226.slp
993	227	3	113	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H227.slp
1001	228	10	167	soil/68563_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H228.slp
1002	229	2	76	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H229.slp
1003	230	1	50	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H230.slp
1011	231	8	111	soil/68563_8.sl	man/ww_barley_fallow_Int_Precip_mt_8.man	slope/H231.slp
1012	232	1	48	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H232.slp
1013	233	3	86	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H233.slp
1022	234	9	103	soil/68563_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H234.slp
1023	235	1	26	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H235.slp
1032	236	1	7	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H236.slp
1033	237	2	12	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H237.slp
1041	238	11	116	soil/68563_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H238.slp
1042	239	3	138	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H239.slp
1043	240	1	76	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H240.slp
1052	241	8	76	soil/68563_8.sl	man/ww_barley_fallow_Int_Precip_mt_8.man	slope/H241.slp
1053	242	3	34	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H242.slp
